,Serial number,Character,Individual raw frequency,Cumulative frequency in percentile,Pinyin,English translation
0,1,之,850821,1.30197232615,zhi1,(literary equivalent of 的)/(subor. part.)/him/her/it
1,2,不,845792,2.59624900442,bu4/bu2,(negative prefix)/not/no
2,3,一,677676,3.63326548391,yi1,one/1/single/a(n)
3,4,人,640087,4.61276124192,ren2,man/person/people
4,5,以,499540,5.37718437652,yi3,to use/according to/so as to/in order to/by/with/because/Israel (abbrev.)
5,6,有,467244,6.09218642461,you3,to have/there is/there are/to exist/to be
6,7,了,460098,6.79625327689,le/liao3/liao4,"(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place"
7,8,为,445837,7.4784971754,wei2/wei4,"act as/take...to be/to be/to do/to serve as/to become, because of/for/to"
8,9,道,440429,8.15246545972,dao4,direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk
9,10,是,401754,8.7672511666,shi4,is/are/am/yes/to be
10,11,子,395071,9.37181018532,zi3/zi,"11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)"
11,12,的,380014,9.95332816801,de/di2/di4,"(possessive particle)/of, really and truly, aim/clear"
12,13,来,362142,10.5074974494,lai2,to come
13,14,大,359993,11.0583782147,da4/dai4,"big/huge/large/major/great/wide/deep/oldest/eldest, doctor"
14,15,也,336196,11.5728435231,ye3,also/too
15,16,十,303876,12.0378510189,shi2,ten/10
16,17,其,302708,12.5010711779,qi2,his/her/its/theirs/that/such/it (refers to sth preceding it)
17,18,上,301620,12.9626264204,shang4,"on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up"
18,19,二,282297,13.3946125629,er4,two/2
19,20,而,280238,13.8234479122,er2,and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast)
20,21,中,279367,14.2509504102,zhong1/zhong4,"within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)"
21,22,曰,276396,14.6739065233,yue1,to speak/to say
22,23,下,269417,15.0861829929,xia4,"under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter"
23,24,于,268661,15.4973025905,yu2,"(surname), in/at/to/from/by/than/out of"
24,25,三,258784,15.8933078683,san1,three/3
